id ,name ,sex,cooperation,type
pr,Pamela Reif,1,0,1
puma,Puma,n/a,1,0
jc,Joel Corry,2,7,1
jd,Jason Derulo ,2,7,1
dr,Dennis Reif,2,11,1
mr ,Manuela Reif,1,12,1
cln,Christopher Lund Nissen,2,7,1
df,Daniel Fox ,2,10,1
dp,David Puentez ,2,7,1
douglas,Douglas ,n/a,2,0
nakd,Nakd,n/a,4,0
calzedonia,Calzedonia,n/a,4,0
am,Austin Mahone,2,7,1
naturallyp,Naturally Pam,n/a,3,0
ghd,Ghd,n/a,2,0
nyx,NYX Cosmetics,n/a,2,0
hej,Hej natural,n/a,3,0
mb,Mercedes Benz,n/a,4,0
alno,ALNO kitchens,n/a ,5,0
rainforest ,The rainforest Company,n/a,3,0
intimissimi,intimissimi,n/a,4,0
